,DATA_PEDIDO,HORA_PEDIDO,VALOR_PRODUTOS,TAXA_ENTREGA,TOTAL_PEDIDO,FORMA_PAGAMENTO,AVALIACAO,STATUS,ID_ESTABELECIMENTO,TIPO_ESTABELECIMENTO,ID_USUARIO,DDD_USUARIO,DATA_CADASTRO_USUARIO,PRIMEIRO_PEDIDO,BAIRRO_USUARIO,CIDADE_USUARIO,SO_DISPOSITIVO
0,2016-07-05, 19:51,16.0,4.0,20.0,Dinheiro,0.0,Entregue,16,Lanchonete,50720,77,2016-07-05,Sim,Ipanema,Vitória da Conquista,Android
1,2016-07-05, 20:58,28.0,4.0,32.0,Dinheiro,0.0,Recusado,16,Lanchonete,48784,77,2016-06-18,Não,Candeias,Vitória da Conquista,iOS
2,2016-07-05, 21:35,13.0,4.0,17.0,Dinheiro,0.0,Recusado,16,Lanchonete,7016,77,2015-08-10,Não,Urbis I,Vitória da Conquista,Android
3,2016-07-06, 23:22,11.5,4.0,15.5,Dinheiro,0.0,Entregue,16,Lanchonete,48536,77,2016-06-15,Não,Alto Maron,Vitória da Conquista,Android
4,2016-07-07, 20:08,19.0,4.0,23.0,Dinheiro,0.0,Recusado,16,Lanchonete,21160,77,2015-12-21,Não,Candeias,Vitória da Conquista,Android
5,2016-07-08, 20:35,42.0,4.0,46.0,Dinheiro,0.0,Recusado,16,Lanchonete,49864,77,2016-06-27,Não,Brasil,Vitória da Conquista,Android
6,2016-07-09, 18:16,9.0,4.0,13.0,Dinheiro,0.0,Recusado,16,Lanchonete,37264,77,2016-04-04,Não,Boa Vista,Vitória da Conquista,iOS
7,2016-07-10, 21:47,29.0,4.0,33.0,Dinheiro,0.0,Entregue,16,Lanchonete,51264,77,2016-07-10,Sim,Candeias,Vitória da Conquista,Android
8,2016-07-12, 22:25,32.0,4.0,36.0,Dinheiro,0.0,Entregue,16,Lanchonete,29904,77,2016-02-22,Não,Candeias,Vitória da Conquista,Android
9,2016-07-15, 21:09,12.0,4.0,16.0,Dinheiro,1.0,Recusado,16,Lanchonete,51912,77,2016-07-15,Sim,Mor. dos Pássaros,Vitória da Conquista,Android
10,2016-07-25, 20:18,18.5,4.0,22.5,Dinheiro,0.0,Recusado,16,Lanchonete,52832,77,2016-07-20,Não,Candeias,Vitória da Conquista,Android
11,2016-07-27, 18:05,15.5,4.0,19.5,Dinheiro,0.0,Recusado,16,Lanchonete,16424,77,2015-11-17,Não,Santa Cecília,Vitória da Conquista,Android
12,2016-07-29, 00:10,12.0,4.0,16.0,Dinheiro,0.0,Recusado,16,Lanchonete,41584,77,2016-05-01,Não,Vila Serrana,Vitória da Conquista,Android
13,2016-07-30, 23:44,25.5,4.0,29.5,Dinheiro,3.0,Entregue,16,Lanchonete,54144,77,2016-07-30,Sim,Mor. dos Pássaros,Vitória da Conquista,Android
14,2016-07-31, 22:35,13.0,4.0,17.0,Dinheiro,0.0,Recusado,16,Lanchonete,42136,77,2016-05-06,Não,Alto Maron,Vitória da Conquista,Android
15,2016-08-01, 22:42,11.5,4.0,15.5,Dinheiro,0.0,Entregue,16,Lanchonete,54144,77,2016-07-30,Não,Mor. dos Pássaros,Vitória da Conquista,Android
16,2016-08-25, 22:55,9.5,4.0,13.5,Dinheiro,0.0,Recusado,16,Lanchonete,36912,77,2016-04-01,Não,Candeias,Vitória da Conquista,Android
17,2016-10-02, 19:42,12.0,4.0,16.0,Dinheiro,0.0,Entregue,16,Lanchonete,22672,77,2016-01-01,Não,Candeias,Vitória da Conquista,Android
18,2016-10-02, 19:49,35.0,4.0,39.0,Dinheiro,0.0,Entregue,16,Lanchonete,64640,77,2016-10-02,Sim,Candeias,Vitória da Conquista,Android
19,2016-10-02, 23:11,18.0,4.0,22.0,Dinheiro,0.0,Entregue,16,Lanchonete,32904,77,2016-03-10,Não,Boa Vista,Vitória da Conquista,Android
20,2016-10-02, 23:55,30.0,4.0,34.0,Dinheiro,0.0,Entregue,16,Lanchonete,18008,77,2015-11-28,Não,Alto Maron,Vitória da Conquista,Android
21,2016-10-20, 19:04,11.5,4.0,15.5,Dinheiro,5.0,Entregue,16,Lanchonete,67824,77,2016-10-18,Não,Primavera,Vitória da Conquista,Android
